codgeo;libgeo;an;med_disp
01001;L'Abergement-Clémenciat;2020;24820
01002;L'Abergement-de-Varey;2020;23220
01004;Ambérieu-en-Bugey;2020;21070
01005;Ambérieux-en-Dombes;2020;24380
01006;Ambléon;2020;
01007;Ambronay;2020;24330
01008;Ambutrix;2020;26120
01009;Andert-et-Condon;2020;24410
01010;Anglefort;2020;24700
01011;Apremont;2020;24690
01012;Aranc;2020;22300
01013;Arandas;2020;22190
01014;Arbent;2020;21670
01015;Arboys en Bugey;2020;22960
01016;Arbigny;2020;22280
01017;Argis;2020;20950
01019;Armix;2020;
01021;Ars-sur-Formans;2020;25400
01022;Artemare;2020;20990
01023;Asnières-sur-Saône;2020;
01024;Attignat;2020;23420
01025;Bâgé-Dommartin;2020;23880
01026;Bâgé-le-Châtel;2020;22100
01027;Balan;2020;24870
01028;Baneins;2020;23400
01029;Beaupont;2020;21260
01030;Beauregard;2020;22780
01031;Bellignat;2020;20180
01032;Béligneux;2020;22610
01033;Valserhône;2020;23140
01034;Belley;2020;20550
01035;Belleydoux;2020;24930
01036;Valromey-sur-Séran;2020;23680
01037;Bénonces;2020;21950
01038;Bény;2020;23550
01040;Béréziat;2020;23090
01041;Bettant;2020;24040
01042;Bey;2020;24960
01043;Beynost;2020;28090
01044;Billiat;2020;26950
01045;Birieux;2020;28510
01046;Biziat;2020;23580
01047;Blyes;2020;26330
01049;La Boisse;2020;25560
01050;Boissey;2020;22750
01051;Bolozon;2020;
01052;Bouligneux;2020;26030
01053;Bourg-en-Bresse;2020;19640
01054;Bourg-Saint-Christophe;2020;26020
01056;Boyeux-Saint-Jérôme;2020;21220
01057;Boz;2020;23350
01058;Brégnier-Cordon;2020;22990
01060;Brénod;2020;23850
01061;Brens;2020;24550
01062;Bressolles;2020;28420
01063;Brion;2020;24690
01064;Briord;2020;21930
01065;Buellas;2020;26450
01066;La Burbanche;2020;
01067;Ceignes;2020;25060
01068;Cerdon;2020;21360
01069;Certines;2020;25040
01071;Cessy;2020;39950
01072;Ceyzériat;2020;25010
01073;Ceyzérieu;2020;24710
01074;Chalamont;2020;22690
01075;Chaleins;2020;24170
01076;Chaley;2020;20880
01077;Challes-la-Montagne;2020;22770
01078;Challex;2020;42350
01079;Champagne-en-Valromey;2020;22020
01080;Champdor-Corcelles;2020;22490
01081;Champfromier;2020;25300
01082;Chanay;2020;25710
01083;Chaneins;2020;24310
01084;Chanoz-Châtenay;2020;23060
01085;La Chapelle-du-Châtelard;2020;24560
01087;Charix;2020;24720
01088;Charnoz-sur-Ain;2020;27430
01089;Château-Gaillard;2020;24490
01090;Châtenay;2020;21710
01092;Châtillon-la-Palud;2020;25120
01093;Châtillon-sur-Chalaronne;2020;22690
01094;Chavannes-sur-Reyssouze;2020;22100
01095;Nivigne et Suran;2020;22050
01096;Chaveyriat;2020;22570
01098;Chazey-Bons;2020;21600
01099;Chazey-sur-Ain;2020;25480
01100;Cheignieu-la-Balme;2020;20380
01101;Chevillard;2020;26760
01102;Chevroux;2020;23470
01103;Chevry;2020;40150
01104;Chézery-Forens;2020;26070
01105;Civrieux;2020;28050
01106;Cize;2020;21560
01107;Cleyzieu;2020;21970
01108;Coligny;2020;22230
01109;Collonges;2020;32850
01110;Colomieu;2020;20910
01111;Conand;2020;20190
01112;Condamine;2020;24260
01113;Condeissiat;2020;22650
01114;Confort;2020;30710
01115;Confrançon;2020;23080
01116;Contrevoz;2020;22740
01117;Conzieu;2020;22590
01118;Corbonod;2020;26030
01121;Corlier;2020;22770
01123;Cormoranche-sur-Saône;2020;24470
01124;Cormoz;2020;22850
01125;Corveissiat;2020;23620
01127;Courmangoux;2020;23190
01128;Courtes;2020;22100
01129;Crans;2020;25420
